country_region,province_state,confirmed,deaths,peak_confirmed,peak_deaths,start_date,days,avg_confirmed,avg_deaths,c_thisweek,d_thisweek,after_peak,after_min,after_expeak,c_maxweek,d_maxweek,c_minweek,c_beforemax,death_rate,c_thisweek/avg,d_thisweek/avg,c_thisweek/maxweek,d_thisweek/maxweek,c_thisweek/beforemax
Australia,Tasmania,228,13,21.0,1.0,2020-03-02,60,2.1666666666666665,0.16666666666666666,0.0,0.0,55,24,43,11.166666666666666,0.75,0.125,3.0,0.05701754385964912,0.0,0.0,0.0,0.0,0.0
Australia,Victoria,1687,19,126.0,3.0,2020-01-26,82,19.426829268292682,0.23170731707317074,4.75,0.0,78,31,69,52.2,0.375,13.0,70.25,0.011262596324836989,0.24450721908349027,0.0,0.09099616858237547,0.0,0.06761565836298933
Australia,Western Australia,599,9,56.0,2.0,2020-02-29,78,6.538461538461538,0.10256410256410256,1.625,0.0,74,6,65,28.2,0.5,3.5,25.625,0.015025041736227046,0.2485294117647059,0.0,0.057624113475177305,0.0,0.06341463414634146
Austria,-,16902,672,1321.0,30.0,2020-02-25,92,182.8586956521739,7.304347826086956,27.125,0.5,74,7,62,657.875,18.125,28.75,377.625,0.0397586084487043,0.14833858408131725,0.06845238095238096,0.04123123693710811,0.027586206896551724,0.07183051969546508
Azerbaijan,-,7553,88,379.0,5.0,2020-03-01,74,100.8108108108108,1.162162162162162,288.375,3.375,2,72,11,281.25,3.0,29.666666666666668,141.0,0.011650999602806831,2.8605563002680965,2.9040697674418605,1.0253333333333334,1.125,2.0452127659574466
Bahamas,-,103,11,3.0,0.0,2020-03-16,16,0.375,0.0,0.125,0.0,16,2,2,3.0,0.0,0.125,0.125,0.10679611650485436,0.3333333333333333,0.0,0.041666666666666664,0.0,1.0
Bahrain,-,14763,26,605.0,2.0,2020-02-24,90,162.9777777777778,0.28888888888888886,496.25,1.125,8,68,24,324.5,1.125,22.125,298.0,0.001761159655896498,3.0448936460321785,3.8942307692307696,1.529275808936826,1.0,1.6652684563758389
Bangladesh,-,65769,888,2911.0,42.0,2020-03-08,63,1042.5555555555557,13.952380952380953,2645.125,34.75,6,63,16,2107.5,34.75,35.0,1501.625,0.013501801760707931,2.537154961099861,2.49061433447099,1.2551008303677342,1.0,1.7615083659369017
Belarus,-,48630,269,1485.0,7.0,2020-02-28,70,693.3714285714286,3.842857142857143,871.5,5.0,49,68,40,460.75,4.875,23.0,807.25,0.005531564877647542,1.2569020932915773,1.3011152416356877,1.8914812805208898,1.0256410256410255,1.0795912047073397
Belgium,-,59226,9595,2454.0,496.0,2020-02-04,94,629.531914893617,102.07446808510639,130.0,17.75,54,90,72,1422.375,251.0,43.4,859.625,0.162006551176848,0.20650263620386644,0.17389265242313703,0.09139643202390368,0.07071713147410359,0.15122873345935728
Benin,-,261,3,102.0,1.0,2020-03-16,32,11.6875,0.03125,4.625,0.0,31,6,15,73.0,0.125,6.625,7.625,0.011494252873563218,0.39572192513368987,0.0,0.06335616438356165,0.0,0.6065573770491803
Bolivia,-,13643,465,861.0,33.0,2020-03-11,69,196.31884057971016,6.681159420289855,506.375,19.375,9,59,19,501.625,14.375,18.125,244.375,0.03408341273913362,2.579349992617747,2.899945770065076,1.0094692250186892,1.3478260869565217,2.0721227621483376
Bosnia and Herzegovina,-,2606,159,92.0,8.0,2020-03-05,78,32.217948717948715,2.0256410256410255,14.0,0.75,40,14,62,41.875,3.625,14.5,49.5,0.06101304681504221,0.4345403899721449,0.37025316455696206,0.33432835820895523,0.20689655172413793,0.2828282828282828
Brazil,-,691758,36455,33274.0,1473.0,2020-02-26,87,7950.64367816092,419.02298850574715,24164.75,952.625,9,85,19,20943.75,1052.875,36.666666666666664,14170.625,0.05269906528005459,3.039345111940622,2.2734432862433134,1.1537928976424947,0.9047845185800784,1.7052705861597495
